instant,dteday,season,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1.0,01-01-2011,1.0,0.0,False,6.0,1.0,0.24,0.2879,0.81,0.0,3.0,13.0,16.0
2.0,01-01-2011,1.0,1.0,False,6.0,1.0,0.22,0.2727,0.8,0.0,8.0,32.0,40.0
3.0,01-01-2011,1.0,2.0,False,6.0,1.0,0.22,0.2727,0.8,0.0,5.0,27.0,32.0
4.0,01-01-2011,1.0,3.0,False,6.0,1.0,0.24,0.2879,0.75,0.0,3.0,10.0,13.0
5.0,01-01-2011,1.0,4.0,False,6.0,1.0,0.24,0.2879,0.75,0.0,0.0,1.0,1.0
6.0,01-01-2011,1.0,5.0,False,6.0,2.0,0.24,0.2576,0.75,0.0896,0.0,1.0,1.0
7.0,01-01-2011,1.0,6.0,False,6.0,1.0,0.22,0.2727,0.8,0.0,2.0,0.0,2.0
8.0,01-01-2011,1.0,7.0,False,6.0,1.0,0.2,0.2576,0.86,0.0,1.0,2.0,3.0
9.0,01-01-2011,1.0,8.0,False,6.0,1.0,0.24,,0.75,0.0,1.0,7.0,8.0
10.0,01-01-2011,1.0,9.0,False,6.0,1.0,0.32,0.3485,0.76,0.0,8.0,6.0,14.0
11.0,01-01-2011,1.0,10.0,False,6.0,1.0,0.36,0.3939,0.76,0.2537,12.0,24.0,36.0
12.0,01-01-2011,1.0,11.0,False,6.0,1.0,0.36,0.3333,0.81,0.2836,15.0,30.0,56.0
13.0,01-01-2011,1.0,12.0,False,6.0,1.0,0.36,0.39395,0.77,0.2836,15.0,55.0,84.0
14.0,01-01-2011,1.0,13.0,False,6.0,2.0,0.36,0.39395,0.72,0.2985,15.0,47.0,94.0
15.0,01-01-2011,1.0,14.0,False,6.0,2.0,0.36,0.39395,0.72,0.2836,15.0,71.0,106.0
16.0,01-01-2011,1.0,15.0,False,6.0,2.0,0.36,0.39395,0.77,0.2985,15.0,70.0,110.0
17.0,01-01-2011,1.0,16.0,False,6.0,2.0,0.36,0.39395,0.82,0.2985,15.0,52.0,93.0
18.0,01-01-2011,1.0,17.0,False,6.0,2.0,0.36,,0.82,0.2836,15.0,52.0,67.0
19.0,01-01-2011,1.0,18.0,False,6.0,3.0,0.36,0.39395,0.88,0.2537,9.0,26.0,35.0
20.0,01-01-2011,1.0,19.0,False,6.0,3.0,0.36,0.39395,0.88,0.2537,6.0,31.0,37.0
21.0,01-01-2011,1.0,20.0,False,6.0,2.0,0.36,0.39395,0.87,0.2537,11.0,25.0,36.0
22.0,01-01-2011,1.0,21.0,False,6.0,2.0,0.36,0.39395,0.87,0.194,3.0,31.0,34.0
23.0,01-01-2011,1.0,22.0,False,6.0,2.0,0.36,0.39395,0.94,0.2239,11.0,17.0,28.0
24.0,01-01-2011,1.0,23.0,False,6.0,2.0,0.36,,0.88,0.2985,15.0,24.0,39.0
25.0,02-01-2011,1.0,0.0,False,0.0,2.0,0.36,0.39395,0.88,0.2985,4.0,13.0,17.0
26.0,02-01-2011,1.0,1.0,False,0.0,2.0,0.36,0.39395,0.94,0.2537,1.0,16.0,17.0
27.0,02-01-2011,1.0,2.0,False,0.0,2.0,0.36,0.39395,1.0,0.2836,1.0,8.0,9.0
28.0,02-01-2011,1.0,3.0,False,0.0,2.0,0.36,0.39395,0.94,0.194,2.0,4.0,6.0
29.0,02-01-2011,1.0,4.0,False,0.0,2.0,0.36,,0.94,0.194,2.0,1.0,3.0
30.0,02-01-2011,1.0,6.0,False,0.0,3.0,0.36,0.39395,0.77,0.2985,0.0,2.0,2.0
31.0,02-01-2011,1.0,7.0,False,0.0,2.0,0.36,0.39395,0.76,0.194,0.0,1.0,1.0
32.0,02-01-2011,1.0,8.0,False,0.0,3.0,0.36,0.39395,0.71,0.2239,0.0,8.0,8.0
33.0,02-01-2011,1.0,9.0,False,0.0,2.0,0.36,,0.76,0.2239,1.0,19.0,20.0
34.0,02-01-2011,1.0,10.0,False,0.0,2.0,0.36,0.3485,0.81,0.2239,7.0,46.0,53.0
35.0,02-01-2011,1.0,11.0,False,0.0,2.0,0.36,0.3333,0.71,0.2537,15.0,54.0,70.0
36.0,02-01-2011,1.0,12.0,False,0.0,2.0,0.36,0.3333,0.66,0.2985,15.0,73.0,93.0
37.0,02-01-2011,1.0,13.0,False,0.0,2.0,0.36,0.3485,0.66,0.1343,11.0,64.0,75.0
38.0,02-01-2011,1.0,14.0,False,0.0,3.0,0.36,,0.76,0.194,4.0,55.0,59.0
39.0,02-01-2011,1.0,15.0,False,0.0,3.0,0.34,0.3333,0.81,0.1642,15.0,55.0,74.0
40.0,02-01-2011,1.0,16.0,False,0.0,3.0,0.34,0.3333,0.71,0.1642,9.0,67.0,76.0
41.0,02-01-2011,1.0,17.0,False,0.0,1.0,0.34,0.3333,0.57,0.194,7.0,58.0,65.0
42.0,02-01-2011,1.0,18.0,False,0.0,2.0,0.36,0.3333,0.46,0.3284,10.0,43.0,53.0
43.0,02-01-2011,1.0,19.0,False,0.0,1.0,0.32,0.2879,0.42,0.4478,1.0,29.0,30.0
44.0,02-01-2011,1.0,20.0,False,0.0,1.0,0.3,,0.39,0.3582,5.0,17.0,22.0
45.0,02-01-2011,1.0,21.0,False,0.0,1.0,0.26,0.2273,0.44,0.3284,11.0,20.0,31.0
